,School Name,School Type,Locality,Postcode,Average Income in Postcode 
114,Emmaus College,Secondary,VERMONT SOUTH,3133,64208.0
115,Norwood Secondary College,Secondary,RINGWOOD,3134,63801.0
116,Ringwood Secondary College,Secondary,RINGWOOD,3134,63801.0
117,Aquinas College,Secondary,RINGWOOD,3134,63801.0
118,Heathmont College,Secondary,HEATHMONT,3135,64081.0
119,Croydon Community School,Secondary,CROYDON,3136,61290.0
120,Melba Secondary College,Secondary,CROYDON,3136,61290.0
121,Luther College,Secondary,CROYDON HILLS,3136,61290.0
122,Mooroolbark College,Secondary,MOOROOLBARK,3138,59565.0
123,Yarra Hills Secondary College,Secondary,MOOROOLBARK,3138,59565.0
124,Lilydale Heights College,Secondary,LILYDALE,3140,58416.0
125,Lilydale High School,Secondary,LILYDALE,3140,58416.0
126,Mount Lilydale Mercy College,Secondary,LILYDALE,3140,58416.0
127,Melbourne High School,Secondary,SOUTH YARRA,3141,82166.0
128,Glen Eira College,Secondary,CAULFIELD EAST,3145,81707.0
129,Ashwood High School,Secondary,ASHWOOD,3147,77223.0
130,Salesian College,Secondary,CHADSTONE,3148,61744.0
131,Mount Waverley Secondary College,Secondary,MOUNT WAVERLEY,3149,66200.0
132,Avila College,Secondary,MOUNT WAVERLEY,3149,66200.0
133,Brentwood Secondary College,Secondary,GLEN WAVERLEY,3150,63201.0
134,Highvale Secondary College,Secondary,GLEN WAVERLEY,3150,63201.0
135,Wheelers Hill Secondary College,Secondary,WHEELERS HILL,3150,63201.0
136,Glen Waverley Secondary College,Secondary,GLEN WAVERLEY,3150,63201.0
137,Forest Hill College,Secondary,BURWOOD EAST,3151,57126.0
138,Wantirna College,Secondary,WANTIRNA,3152,61249.0
139,Bayswater Secondary College,Secondary,BAYSWATER,3153,56800.0
140,Fairhills High School,Secondary,FERNTREE GULLY,3156,61027.0
141,St Joseph's College,Secondary,FERNTREE GULLY,3156,61027.0
142,Upwey High School,Secondary,UPWEY,3158,62800.0
143,Mater Christi College,Secondary,BELGRAVE,3160,62287.0
144,Oakwood School,Secondary,CAULFIELD NORTH,3161,73318.0
145,Bentleigh Secondary College,Secondary,BENTLEIGH EAST,3165,70479.0
146,St James'  College,Secondary,BENTLEIGH EAST,3165,70479.0
147,Sacred Heart Girls' College,Secondary,OAKLEIGH,3166,63293.0
148,South Oakleigh Secondary College,Secondary,OAKLEIGH SOUTH,3167,61241.0
149,Westall Secondary College,Secondary,CLAYTON SOUTH,3169,51742.0
150,Wellington Secondary College,Secondary,MULGRAVE,3170,60286.0
151,Mazenod College,Secondary,MULGRAVE,3170,60286.0
152,Nazareth College,Secondary,WAVERLEY GARDENS,3170,60286.0
153,Killester College,Secondary,SPRINGVALE,3171,43919.0
154,Keysborough Secondary College,Secondary,SPRINGVALE SOUTH,3172,53203.0
155,Noble Park Secondary College,Secondary,NOBLE PARK,3174,46736.0
156,Lyndale Secondary College,Secondary,DANDENONG NORTH,3175,48060.0
157,Dandenong High School,Secondary,DANDENONG,3175,48060.0
158,St John's Regional College,Secondary,DANDENONG,3175,48060.0
159,Rowville Secondary College,Secondary,ROWVILLE,3178,62252.0
160,Scoresby Secondary College,Secondary,SCORESBY,3179,58242.0
161,Prahran High School,Secondary,WINDSOR,3181,78771.0
162,Presentation College Windsor,Secondary,WINDSOR,3181,78771.0
163,St Marys College Melbourne,Secondary,ST KILDA,3182,69095.0
164,Elwood College,Secondary,ELWOOD,3184,80576.0
165,Star of the Sea College,Secondary,BRIGHTON,3186,103637.0
166,Brighton Secondary College,Secondary,BRIGHTON EAST,3187,91512.0
167,Cheltenham Secondary College,Secondary,MOORABBIN,3189,67481.0
168,Sandringham College,Secondary,SANDRINGHAM,3191,90913.0
169,Beaumaris Secondary College,Secondary,BEAUMARIS,3193,88820.0
170,Tombolo Academy,Secondary,BEAUMARIS,3193,88820.0
171,Mentone Girls Secondary College,Secondary,MENTONE,3194,70211.0
172,Kilbreda College,Secondary,MENTONE,3194,70211.0
173,St Bede's College,Secondary,MENTONE,3194,70211.0
174,Mordialloc College,Secondary,MORDIALLOC,3195,70672.0
175,Parkdale Secondary College,Secondary,MORDIALLOC,3195,70672.0
176,Patterson River Secondary College,Secondary,SEAFORD,3198,59323.0
177,Mount Erin Secondary College,Secondary,FRANKSTON SOUTH,3199,58074.0
178,Frankston High School,Secondary,FRANKSTON,3199,58074.0
179,McClelland Secondary College,Secondary,FRANKSTON,3199,58074.0
180,John Paul College,Secondary,FRANKSTON EAST,3199,58074.0
181,Monterey Secondary College,Secondary,FRANKSTON NORTH,3200,47617.0
182,Carrum Downs Secondary College,Secondary,CARRUM DOWNS,3201,55508.0
183,McKinnon Secondary College,Secondary,MCKINNON,3204,74927.0
184,Our Lady of the Sacred Heart College,Secondary,BENTLEIGH,3204,74927.0
185,Youth2Industry College,Secondary,SOUTH MELBOURNE,3205,84350.0
186,Albert Park College,Secondary,ALBERT PARK,3206,115483.0
187,Lara Secondary College,Secondary,LARA,3212,62541.0
